Year,DefenseBudget,GDP,Population
1999,298.09,9630.66,279.04
2000,320.09,10252.35,282.16
2001,331.81,10581.82,284.97
2002,378.46,10936.42,287.63
2003,440.53,11458.24,290.11
2004,493.00,12213.73,292.81
2005,533.20,13036.64,295.52
2006,558.34,13814.61,298.38
2007,589.59,14451.86,301.23
2008,656.76,14712.84,304.09
2009,705.92,14448.93,306.77
2010,738.01,14992.05,309.32
2011,752.29,15542.58,311.56
2012,725.21,16197.01,313.83
2013,679.23,16784.85,315.99
2014,647.79,17527.16,318.30
2015,633.83,18238.30,320.64
2016,639.86,18745.08,322.94
2017,646.75,19542.98,324.99
2018,682.49,20611.86,326.69
2019,731.75,21433.22,328.24
2020,778.00,20940.00,330.66
2021,754.18,23315.08,331.89
2022,766.58,25462.70,333.29
2023,820.00,27360.94,335.89
2024,850.00,28500.00,338.00
