Date,City,State,School,Fatalities,Wounded
2/29/1996,St. Louis,Missouri,HS,1,1
3/11/1996,New London,North Carolina,HS,1,
4/11/1996,Talledega,Alabama,HS,1,
6/4/1996,Hemet,California,HS,1,
8/15/1996,San Diego,California,C,3,
8/15/1996,San Diego,California,C,3,0
8/26/1996,San Antonio,Texas,C,1,
9/17/1996,State College,Pennsylvania,C,1,
9/17/1996,State College,Pennsylvania,C,1,2
9/25/1996,Scottdale,Georgia,HS,1,
9/25/1996,Decatur,Georgia,HS,1,2
10/2/1996,Philadelphia,Pennsylvania,ES,2,
10/4/1996,Playa del Rey,California,HS,1,
10/9/1996,Sherwood,Arkansas,-,1,0
10/13/1996,St. Louis,Missouri,HS,1,
10/16/1996,West Lafayette,Indiana,C,1,
11/27/1996,Sacramento,California,HS,1,
1/11/1997,Brooklyn,New York,HS,1,
1/27/1997,West Palm Beach,Florida,MS,1,
1/27/1997,West Palm Beach,Florida,MS,1,0
1/31/1997,Tulsa,Oklahoma,,1,
2/19/1997,Bethel,Alaska,HS,2,
2/19/1997,Bethel,Alaska,HS,2,2
2/20/1997,Jacksonville,Florida,HS,1,
3/18/1997,Detroit,Michigan,HS,1,
10/1/1997,Pearl,Mississippi,HS,3,
10/1/1997,Pearl,Mississippi,HS,3,7
10/14/1997,Garland,Texas,HS,1,
10/15/1997,Palmetto,Florida,MS,0,1
10/22/1997,Norwalk,California,HS,2,
11/13/1997,Sacramento,California,ES,1,
12/1/1997,West Paducah,Kentucky,HS,3,
12/1/1997,West Paducah,Kentucky,HS,3,5
12/15/1997,Stamps,Arkansas,HS,2,
12/15/1997,Stamps,Arkansas,HS,0,2
2/25/1998,Reed City,Michigan,HS,1,
3/1/1998,Philadelphia,Pennsylvania,C,1,3
3/24/1998,Jonesboro,Arkansas,MS,5,
3/24/1998,Craighead County,Arkansas,MS,5,10
3/25/1998,Coldwater,Michigan,HS,1,
3/30/1998,Chapel Hill,North Carolina,MS,0,
4/24/1998,Edinboro,Pennsylvania,HS,1,
4/24/1998,Edinboro,Pennsylvania,MS,1,3
4/28/1998,Pomona,California,ES,2,
5/1/1998,Buffalo,New York,ES,1,
5/19/1998,Fayetteville,Tennessee,HS,1,
5/19/1998,Fayetteville,Tennessee,HS,1,0
5/21/1998,Springfield,Oregon,HS,4,
5/21/1998,Rialto,California,HS,1,
5/21/1998,Springfield,Oregon,HS,4,23
5/27/1998,Pasadena,California,MS,0,
5/29/1998,Fort Lauderdale,Florida,HS,2,
6/15/1998,Richmond,Virginia,HS,0,
6/15/1998,Richmond,Virginia,HS,0,2
9/4/1998,San Bernardino,California,C,2,
9/12/1998,Glendale,California,HS,0,
12/10/1998,Detroit,Michigan,C,1,
12/10/1998,Detroit,Michigan,C,1,0
1/8/1999,Carollton,Georgia,HS,2,
1/8/1999,Carrollton,Georgia,HS,1,1
1/21/1999,North Richland Hills,Texas,HS,1,
2/11/1999,Elgin,Illinois,HS,0,
4/16/1999,Notus,Idaho,HS,0,
4/16/1999,Notus,Idaho,HS,0,0
4/20/1999,Littleton,Colorado,HS,15,
4/20/1999,Littleton,Colorado,HS,15,21
4/23/1999,Atlanta,Georgia,MS,1,
5/20/1999,Conyers,Georgia,HS,0,
5/20/1999,Conyers,Georgia,HS,0,6
8/25/1999,Monticello,Georgia,HS,1,
9/7/1999,Plano,Texas,HS,1,
9/9/1999,San Jose,California,HS,1,
11/19/1999,Deming,New Mexico,MS,0,
11/19/1999,Deming,New Mexico,MS,1,0
12/6/1999,Fort Gibson,Oklahoma,MS,0,
12/6/1999,Fort Gibson,Oklahoma,MS,0,6
1/19/2000,New Port Richey,Florida,HS,0,
2/29/2000,Flint,Michigan,ES,1,
2/29/2000,Flint,Michigan,ES,1,0
5/10/2000,Sierra Vista,Arizona,ES,2,
5/26/2000,Lake Worth,Florida,MS,1,
5/26/2000,Lake Worth,Florida,MS,1,0
6/28/2000,Seattle,Washington,C,2,
7/26/2000,Canton,Ohio,HS,1,
8/28/2000,Fayetteville,Arkansas,C,2,
8/28/2000,Fayetteville,Arkansas,C,2,0
