Date,City,State,School,Fatalities,Wounded
2/22/2014,Augusta,Georgia,C,0,1
3/12/2014,Miami,Florida,ES,1,0
3/25/2014,College Park,Georgia,HS,0,0
4/9/2014,Greenville,North Carolina,HS,0,0
4/11/2014,Detroit,Michigan,HS,1,0
5/4/2014,Augusta,Georgia,C,0,1
5/5/2014,Augusta,Georgia,C,0,1
5/8/2014,Lawrenceville,Georgia,C,0,1
5/14/2014,Richmond,California,HS,0,1
6/5/2014,Seattle,Washington,C,1,2
6/10/2014,Troutdale,Oregon,HS,2,1
9/9/2014,Miami,Florida,-,0,1
9/27/2014,Terre Haute,Indiana,C,0,1
9/30/2014,Albemarle,North Carolina,HS,0,1
9/30/2014,Louisville,Kentucky,HS,0,1
10/3/2014,Fairburn,Georgia,HS,1,0
10/24/2014,Marysville,Washington,HS,5,1
11/20/2014,Tallahassee,Florida,C,1,3
11/20/2014,Miami,Florida,HS,1,1
12/5/2014,Claremore,Oklahoma,C,1,0
12/12/2014,Portland,Oregon,HS,0,4
1/15/2015,Milwaukee,Wisconsin,HS,0,3
1/16/2015,Ocala,Florida,-,0,2
2/4/2015,Frederick,Maryland,HS,0,2
2/14/2015,Merced,California,MS,1,0
2/23/2015,Daytona Beach,Florida,C,0,3
3/30/2015,University City,Missouri,ES,0,1
4/13/2015,Goldsboro,North Carolina,C,1,0
4/16/2015,Paradis,Louisiana,MS,0,1
4/27/2015,Lacey,Washington,HS,0,0
5/12/2015,Jacksonville,Florida,HS,0,2
5/24/2015,Flint,Michigan,HS,0,7
8/27/2015,Savannah,Georgia,C,1,0
9/3/2015,Sacramento,California,C,1,2
9/14/2015,Cleveland,Mississippi,C,2,0
9/30/2015,Harrisburg,South Dakota,HS,0,1
10/1/2015,Roseburg,Oregon,C,10,9
10/9/2015,Flagstaff,Arizona,C,1,3
10/9/2015,Houston,Texas,C,1,1
10/22/2015,Nashville,Tennessee,C,1,3
11/1/2015,Winston-Salem,North Carolina,C,1,1
11/20/2015,North Las Vegas,Nevada,HS,1,0
1/22/2016,Indianapolis,Indiana,HS,0,1
1/29/2016,Philadelphia,Pennsylvania,HS,0,0
2/9/2016,Muskegon Heights,Michigan,HS,0,4
2/12/2016,Glendale,Arizona,HS,2,0
2/29/2016,Middletown,Ohio,HS,0,4
4/23/2016,Antigo,Wisconsin,HS,1,2
6/1/2016,Los Angeles,California,C,2,0
6/8/2016,Dorchester,Massachusetts,HS,1,3
9/6/2016,Cedar Rapids,IA,HS,1,0
9/9/2016,Alpine,Texas,HS,1,2
9/28/2016,Townville,South Carolina,ES,2,2
10/11/2016,Mobile,Alabama,HS,0,1
10/13/2016,Columbus,Ohio,HS,0,2
10/18/2016,San Francisco,California,HS,0,4
10/25/2016,Sandy,Utah,MS,0,1
12/1/2016,Bountiful,Utah,MS,0,0
1/20/2017,West Liberty,Ohio,HS,0,1
1/20/2017,Seattle,Washington,C,0,1
3/21/2017,King City,California,HS,0,1
4/10/2017,San Bernardino,California,ES,3,1
5/4/2017,Irving,Texas,C,2,0
9/13/2017,Rockford,Washington,HS,1,3
9/20/2017,Mattoon,Illinois,HS,0,1
11/14/2017,Rancho Tehama Reserve,California,ES,6,18
12/7/2017,Aztec,New Mexico,HS,3,0
1/9/2018,Forest City,Iowa,-,0,0
1/20/2018,Winston-Salem,North Carolina,C,1,0
1/22/2018,Italy,Texas,HS,0,1
1/22/2018,New Orleans,Louisiana,HS,0,1
1/23/2018,Marshall County,Kentucky,HS,2,18
2/1/2018,Los Angeles,California,MS,0,5
2/14/2018,Parkland,Florida,HS,17,14
3/2/2018,Mount Pleasant,Michigan,C,2,0
3/7/2018,Birmingham,Alabama,HS,1,2
3/14/2018,Birmingham,Alabama,C,2,1
3/20/2018,Great Mills,Maryland,HS,2,1
4/20/2018,Ocala,Florida,HS,0,1
5/11/2018,Palmdale,California,HS,0,1
5/16/2018,Dixon,Texas,HS,0,1
5/18/2018,Santa Fe,Texas,HS,10,10
5/18/2018,Jonesboro,Georgia,HS,1,3
5/25/2018,Nobelsville,Indiana,MS,0,2
8/17/2018,Wellington,Florida,HS,0,2
8/30/2018,San Francisco,California,HS,0,1
9/5/2018,Providence,Rhode Island,HS,1,1
9/10/2018,Memphis,Tennessee,HS,0,1
9/11/2018,Las Vegas,Nevada,HS,1,0
10/29/2018,Matthews,North Carolina,HS,1,1
12/13/2018,Richmond,Indiana,MS,1,0
1/25/2019,Mobile,Alabama,HS,0,2
2/8/2019,Baltimore,Maryland,HS,0,1
2/12/2019,Kansas City,Missouri,HS,1,0
2/14/2019,Rio Rancho,New Mexico,HS,0,0
3/22/2019,Blountville,Alabama,ES,0,1
4/1/2019,Prescott,Arizona,HS,0,1
4/25/2019,Dekalb,Georgia,ES,0,10
4/30/2019,Charlotte,North Carolina,C,2,4
5/4/2019,Eugene,Oregon,C,1,0
5/6/2019,Riverview,Florida,ES,0,0
5/7/2019,Highlands Ranch,Colorado,HS,1,7
5/7/2019,Savannah,Georgia,C,0,1
8/8/2019,Montgomery,Alabama,ES,0,0
8/30/2019,Mobile,Alabama,HS,0,10
10/22/2019,Santa Rosa,California,HS,0,1
11/14/2019,Santa Clarita,California,HS,2,4
11/15/2019,Pleasantville,New Jersey,HS,1,2
11/23/2019,Union City,California,ES,2,0
12/2/2019,Waukesha,Wisconsin,HS,0,1
12/3/2019,Oshkosh,Wisconsin,HS,0,2
1/8/2020,Belle Glade,Florida,HS,0,1
1/11/2020,Dallas,Texas,HS,1,1
1/14/2020,Bellaire,Texas,HS,1,0
1/14/2020,Fort Worth,Texas,HS,0,2
1/23/2020,Oxnard,California,ES,0,1
2/3/2020,Commerce,Texas,C,2,1
9/16/2020,Sonora,California,HS,1,0
9/16/2020,Macomb,Illinois,C,0,1
2/26/2021,New Orleans,Louisiana,HS,1,0
3/1/2021,Pine Bluff,Arkansas,MS,1,0
4/12/2021,Knoxville,Tennessee,HS,1,1
4/26/2021,Plymouth,Minnesota,MS,0,0
5/6/2021,Rigby,Idaho,MS,0,3
8/13/2021,Albuquerque,New Mexico,MS,1,0
8/18/2021,Orangeburg,South Carolina,HS,0,3
8/27/2021,Woodridge,Virginia,HS,0,2
8/27/2021,Sharon Hill,Pennsylvania,HS,1,4
8/27/2021,Wilmington,North Carolina,HS,0,1
9/1/2021,Winston-Salem,North Carolina,HS,1,0
9/4/2021,Towson,Maryland,C,0,3
9/20/2021,Newport News,Virginia,HS,0,4
9/21/2021,Wichita,Kansas,HS,0,3
9/24/2021,Fairfield,Alabama,HS,0,1
9/30/2021,Memphis,Tennessee,ES,0,1
9/30/2021,Newton,Mississippi,ES,0,1
10/1/2021,Houston,Texas,HS,0,1
10/6/2021,Arlington,Texas,HS,0,4
10/12/2021,Chicago,Illinois,HS,0,2
10/13/2021,Grambling,Louisiana,C,1,1
10/17/2021,Grambling,Louisiana,C,1,7
11/1/2021,Madison,Mississippi,HS,0,0
11/19/2021,Aurora,Colorado,HS,0,3
11/26/2021,Campbell,California,HS,0,2
11/29/2021,Phoenix,Arizona,HS,0,1
11/30/2021,Oxford Township,Michigan,HS,4,7
11/30/2021,Humbolt,Tennessee,HS,1,2
12/6/2021,Wilmington,California,ES,1,2
12/8/2021,Kansas City,Missouri,MS,0,2
1/4/2022,Rockford,Illinois,HS,0,2
1/9/2022,Murfreesboro,North Carolina,C,0,0
1/11/2022,Albuquerque,New Mexico,HS,0,0
1/19/2022,Sanford,Florida,HS,0,1
1/19/2022,Pittsburgh,Pennsylvania,HS,1,0
1/21/2022,Derwood,Maryland,HS,0,1
1/29/2022,Beloit,Wisconsin,HS,1,0
2/1/2022,Richfield,Minnesota,HS,1,1
2/1/2022,Bridgewater,Virginia,C,2,1
2/8/2022,Catonsville,Maryland,HS,0,1
3/4/2022,Olathe,Kansas,HS,0,3
3/7/2022,Des Moines,Iowa,HS,1,2
3/31/2022,Greenville,South Carolina,MS,1,0
4/5/2022,Erie,Pennsylvania,HS,0,1
4/22/2022,Washington,District of Columbia,HS,0,4
5/9/2022,Suwanee,Georgia,,0,1
5/17/2022,Chicago,Illinois,ES,0,1
5/24/2022,Uvalde,Texas,ES,22,15
5/31/2022,New Orleans,Louisiana,C,1,2
6/1/2022,Los Angeles,California,ES,0,1
8/19/2022,Clarksville,Tennessee,HS,0,0
8/19/2022,Groveport,Ohio,HS,0,0
8/29/2022,Oakland,California,HS,0,1
9/3/2022,Dover,Delaware,C,0,4
9/24/2022,Richfield,Minnesota,HS,0,2
9/27/2022,Philadelphia,Pennsylvania,HS,1,4
9/28/2022,Oakland,California,HS,0,4
9/30/2022,Tulsa,Oklahoma,HS,1,3
9/30/2022,Newburgh,New York,HS,0,3
10/5/2022,Tucson,Arizona,C,1,0
10/7/2022,Toledo,Ohio,HS,0,3
10/8/2022,Baltimore,Maryland,C,0,1
10/24/2022,St. Louis,Missouri,HS,3,7
11/4/2022,West Hartford,Connecticut,C,0,1
11/8/2022,Seattle,Washington,HS,1,0
11/12/2022,Orlando,Florida,HS,1,2
11/13/2022,Charlottesville,Virginia,C,3,2
11/17/2022,Clinton,Indiana,C,0,1
11/19/2022,Albuquerque,New Mexico,C,1,1
11/27/2022,Tallahassee,Florida,C,1,4
12/8/2022,Fuquay-Varina,North Carolina,MS,0,0
1/4/2023,Detroit,Michigan,ES,1,0
1/5/2023,Rochester,New York,HS,0,0
1/6/2023,Newport News,Virginia,ES,0,1
1/7/2023,South Tabor,Oregon,HS,0,1
1/10/2023,Stanford,Kentucky,ES,0,1
1/23/2023,Des Moines,Iowa,HS,2,1
2/6/2023,Middletown,Delaware,HS,0,0
2/13/2023,East Lansing,Michigan,C,4,5
2/13/2023,Stapleton,New York,ES,0,0
2/14/2023,Homewood West,Pennsylvania,HS,0,4
2/24/2023,Daytona Beach,Florida,C,0,0
3/3/2023,Orangeburg,South Carolina,C,0,1
3/11/2023,Waterville,Maine,C,0,0
3/20/2023,Arlington,Texas,HS,1,1
3/22/2023,Dallas,Texas,HS,0,1
3/22/2023,City Park,Colorado,HS,1,2
3/25/2023,Orangeburg,South Carolina,C,0,0
3/27/2023,Nashville,Tennessee,ES,7,1
3/30/2023,Winston-Salem,North Carolina,C,0,1
4/10/2023,Louisville,Kentucky,C,1,1
4/15/2023,Chester County,Pennsylvania,C,0,2
4/24/2023,Midwest City,Oklahoma,C,1,0
4/27/2023,Richmond,Virginia,HS,0,2
4/28/2023,Knoxville,Tennessee,HS,0,1
4/29/2023,Tallahassee,Florida,C,0,1
5/1/2023,Flint,Michigan,HS,0,1
5/12/2023,Chadron,Nebraska,C,0,0
5/12/2023,Lenoir City,Tennessee,HS,1,0
5/24/2023,Pittsburgh,Pennsylvania,HS,1,0
6/2/2023,Worcester,Massachusetts,HS,0,1
6/6/2023,Richmond,Virginia,C,2,5
7/5/2023,Washington,District Of Columbia,C,1,0
7/13/2023,Washington,District Of Columbia,C,1,0
8/16/2023,Augusta,Georgia,HS,0,1
8/18/2023,Columbus,Georgia,C,2,0
8/22/2023,Seguin,Texas,ES,0,0
8/22/2023,Huntsville,Alabama,C,0,2
8/25/2023,Choctaw,Oklahoma,HS,1,4
8/25/2023,Greensboro,North Carolina,C,0,1
8/28/2023,Chapel Hill,North Carolina,C,1,0
9/12/2023,Greensburg,Louisiana,C,1,2
9/15/2023,Country Club Hills,Illinois,HS,1,0
09/24/2023,Tuskegee,Alabama,C,0,2
10/03/2023,Baltimore,Maryland,C,0,5
10/12/2023,Framingham,Massachusetts,C,0,0
10/15/2023,Kirkwood,Missouri,MS,0,0
10/15/2023,Jackson,Mississippi,C,1,0
10/17/2023,Stanford,California,C,0,1
10/23/2023,Germantown,Wisconsin,MS,1,0
10/28/2023,Worcester,Massachusetts,C,1,1
11/03/2023,Las Vegas,Nevada,,0,2
11/13/2023,Victoria,Texas,C,0,1
11/13/2023,Prairie View,Texas,C,1,0
11/27/2023,Chicago,Illinois,C,0,0
11/28/2023,Newport News,Virginia,C,0,0
12/06/2023,Las Vegas,Nevada,C,4,3
01/04/2024,Perry,Iowa,HS,3,6
01/17/2024,Gary,Indiana,C,0,0
01/29/2024,Austin,Texas,HS,0,1
01/30/2024,Mobile,Alabama,HS,0,2
02/06/2024,Orangeburg,South Carolina,C,0,1
02/09/2024,Saco,Maine,,0,0
02/09/2024,Berkeley,California,C,0,0
02/14/2024,Atlanta,Georgia,HS,0,4
02/16/2024,Colorado Springs,Colorado,C,2,0
02/19/2024,Mesquite,Texas,,0,1
02/25/2024,Evanston,Illinois,C,0,0
02/26/2024,Odessa,Texas,HS,0,1
03/11/2024,Springfield,Massachusetts,HS,0,0
04/02/2024,Cambridge,Massachusetts,,0,0
04/12/2024,Dallas,Texas,HS,0,1
04/21/2024,Dover,Delaware,C,1,0
04/22/2024,West Richland,Washington,ES,1,0
04/15/2024,Greensboro,North Carolina,C,0,0
04/23/2024,Raleigh,North Carolina,C,0,0
04/24/2024,Arlington,Texas,HS,1,0
04/30/2024,New York City,New York,C,0,0
05/01/2024,Mount Horeb,Wisconsin,MS,1,0
05/01/2024,Syracuse,New York,C,0,0
05/03/2024,Washington,D.C.,HS,0,1
05/18/2024,Kennesaw,Georgia,C,1,0
05/19/2024,Cape Girardeau,Missouri,C,0,2
06/06/2024,Seattle,Washington,HS,1,0
08/10/2024,Nashville,Tennessee,C,0,2
08/14/2024,Ettrick,Virginia,C,0,4
08/18/2024,Itta Bena,Mississippi,C,0,2
08/26/2024,Houston,Texas,C,2,0
08/30/2024,Huntsville,Alabama,C,0,1
08/21/2024,San Francisco,California,,0,1
09/03/2024,Huntsville,Alabama,C,0,1
09/04/2024,Winder,Georgia,HS,4,9
09/04/2024,New York City,New York,,0,1
09/06/2024,Joppatowne,Maryland,HS,1,0
09/10/2024,Omaha,Nebraska,HS,0,1
09/19/2024,Atlanta,Georgia,C,0,0
09/22/2024,Tucson,Arizona,C,1,0
10/05/2024,Colorado Springs,Colorado,,1,0
10/10/2024,Coatesville,Pennsylvania,HS,0,0
10/14/2024,Santa Monica,California,C,2,0
10/17/2024,Louisville,Kentucky,HS,0,1
10/19/2024,Albany,Georgia,C,1,5
10/29/2024,Bridgeport,Connecticut,C,0,1
10/31/2024,Painesville Township,Ohio,ES,0,0
11/06/2024,Wilmington,Delaware,MS,0,0
11/08/2024,Philadelphia,Pennsylvania,C,0,1
11/10/2024,Country Club Hills,Illinois,MS,1,0
11/10/2024,Tuskegee,Alabama,C,1,16
12/04/2024,Palermo,California,,1,2
12/14/2024,Valdosta,Georgia,C,0,0
12/16/2024,Madison,Wisconsin,,3,6
12/17/2024,Pittsburgh,Pennsylvania,,0,0
01/13/2025,Santa Rosa,California,MS,0,1
01/14/2025,Newburgh,New York,,0,0
01/22/2025,Nashville,Tennessee,HS,2,2
01/27/2025,Kent,Washington,HS,0,0
01/30/2025,Madisonville,Tennessee,,0,0
02/01/2025,Pasadena,Texas,HS,0,1
02/06/2025,Huntsville,Alabama,ES,0,0
02/12/2025,Winston-Salem,North Carolina,C,0,1
02/19/2025,Tallahassee,Florida,C,0,0
02/23/2025,Lancaster,Pennsylvania,C,0,0
02/25/2025,Montgomery County,Maryland,HS,0,0
02/26/2025,Norfolk,Virginia,C,2,0
03/02/2025,Baton Rouge,Louisiana,C,0,1
03/04/2025,Halethorpe,Maryland,HS,1,0
03/12/2025,Grambling,Louisiana,C,0,0
03/27/2025,Frisco,Texas,ES,0,0
04/07/2025,Spotsylvania County,Virginia,ES,0,0
04/10/2025,Houston,Texas,HS,0,2
04/08/2025,Lakeland South,Washington,ES,0,1
04/10/2025,White Plains,Maryland,ES,0,0
04/10/2025,Omaha,Nebraska,C,0,1
04/10/2025,Newark,Delaware,HS,0,1
04/11/2025,Stockton,California,HS,0,6
04/15/2025,Dallas,Texas,HS,0,4
04/16/2025,San Antonio,Texas,,1,0
04/17/2025,Tallahassee,Florida,C,2,7
04/19/2025,Norfolk,Virginia,C,0,2
04/19/2025,Conway,Arkansas,C,0,1
04/22/2025,Denver,Colorado,MS,0,0
04/22/2025,New York City,New York,HS,1,1
04/27/2025,Elizabeth City,North Carolina,C,1,6
04/27/2025,Normal,Illinois,C,0,1
04/30/2025,Los Angeles,California,,0,0
05/01/2025,Ettrick,Virginia,C,0,1
05/02/2025,Inglewood,California,C,1,1
05/15/2025,Philadelphia,Pennsylvania,ES,1,1
05/19/2025,Platteville,Wisconsin,C,2,0
06/24/2025,Lubbock,Texas,C,1,2
06/24/2025,Culver City,California,HS,0,0
