Name,State,Region,Pressident,Start Year,End Year
,NIC,Latin America & Caribbean,Jimmy Carter,1979,1979.0
,PER,Latin America & Caribbean,Jimmy Carter,1979,1979.0
Reunification Talks skirmishes,PRK,Asia,Jimmy Carter,1979,1980.0
Russia Torpedo Seizure,RUS,Europe,Jimmy Carter,1979,1979.0
,ECU,Latin America & Caribbean,Jimmy Carter,1980,1981.0
Iran Hostages Rescue Mission,IRN,Asia,Jimmy Carter,1980,1980.0
DUPLICATE ENTRY,IRN,Asia,Jimmy Carter,1980,1980.0
Anorack Express Exercise,RUS,Europe,Jimmy Carter,1980,1980.0
Tension with Cuba over El Salvador ,CUB,Latin America & Caribbean,Ronald Reagan,1981,1981.0
Gulf of Sidra Incident,LIB,Africa,Ronald Reagan,1981,1981.0
Gulf of Sidra Incident,LIB,Africa,Ronald Reagan,1981,1981.0
,PRK,Asia,Ronald Reagan,1981,1982.0
,RUS,Europe,Ronald Reagan,1981,1981.0
Salvadorian Civil War,SAL,Latin America & Caribbean,Ronald Reagan,1981,1992.0
Sinai Peacekeeping,EGY,Africa,Ronald Reagan,1982,1982.0
Greco-Turkish Tensions,GRC,Europe,Ronald Reagan,1982,1984.0
,LIB,Africa,Ronald Reagan,1982,1982.0
Contra Affair,NIC,Latin America & Caribbean,Ronald Reagan,1982,1982.0
Kuril Islands Dispute,RUS,Europe,Ronald Reagan,1982,1986.0
,RUS,Europe,Ronald Reagan,1982,1982.0
Lebanese Civil War,"SYR, LEB",Asia,Ronald Reagan,1982,1984.0
,YPR,Asia,Ronald Reagan,1982,1982.0
DUPLICATE W. 1983 LIBYA,CHA,Africa,Ronald Reagan,1983,1983.0
US Violation of Cuban Airspace,CUB,Latin America & Caribbean,Ronald Reagan,1983,1983.0
Invasion of Grenada/Operation Urgent Fury,GRN,Latin America & Caribbean,Ronald Reagan,1983,1983.0
US/Honduras Intervention in Nicaragua,HON,Latin America & Caribbean,Ronald Reagan,1983,1989.0
Strait of Hormuz conflict,IRN,Asia,Ronald Reagan,1983,1983.0
AWACS Deployment,LIB,Africa,Ronald Reagan,1983,1983.0
Chadian Civil War,"LIB, CHA",Africa,Ronald Reagan,1983,1983.0
U.S. Support for Honduras,NIC,Latin America & Caribbean,Ronald Reagan,1983,1988.0
North/South Korea Skirmishes,PRK,Asia,Ronald Reagan,1983,1983.0
"Able Archer
",RUS,Europe,Ronald Reagan,1983,1984.0
Red Sea Minesweeping,EGY,Africa,Ronald Reagan,1984,1984.0
,IRN,Asia,Ronald Reagan,1984,1984.0
Assistance to Saudi defence,IRN,Asia,Ronald Reagan,1984,1984.0
Attack on Omdurman,LIB,Africa,Ronald Reagan,1984,1984.0
,PRK,Asia,Ronald Reagan,1984,1985.0
,RUS,Europe,Ronald Reagan,1984,1984.0
,CZE,Europe,Ronald Reagan,1985,1985.0
,"GDR, RUS",Europe,Ronald Reagan,1985,1985.0
Iran - Iraq War,IRN,Asia,Ronald Reagan,1985,1986.0
Achille Lauro Hijacking,ITA,Europe,Ronald Reagan,1985,1985.0
Libya-Egypt border tensions,LIB,Africa,Ronald Reagan,1985,1985.0
Drug seizure in Bolivia,BOL,Latin America & Caribbean,Ronald Reagan,1986,1986.0
Sonic Boom event,CUB,Latin America & Caribbean,Ronald Reagan,1986,1986.0
U.S. Mechant Siezure,IRN,Asia,Ronald Reagan,1986,1988.0
Operation El Dorado Canyon,LIB,Africa,Ronald Reagan,1986,1986.0
Gulf of Sidra Incident,LIB,Africa,Ronald Reagan,1986,1986.0
,NIC,Latin America & Caribbean,Ronald Reagan,1986,1988.0
,RUS,Europe,Ronald Reagan,1986,1986.0
,RUS,Europe,Ronald Reagan,1986,1986.0
,IRN,Asia,Ronald Reagan,1987,1988.0
USS Stark Incident,IRQ,Asia,Ronald Reagan,1987,1987.0
Political Unrest,PAN,Latin America & Caribbean,Ronald Reagan,1987,1988.0
,IRQ,Asia,Ronald Reagan,1988,1988.0
Downing of Libyan Jets,LIB,Africa,Ronald Reagan,1988,1989.0
,CAN,N. America,George H. W. Bush,1989,1989.0
Andean Initiative War on Drugs,"COL, BOL, PER",Latin America & Caribbean,George H. W. Bush,1989,1994.0
Operation Just Cause,PAN,Latin America & Caribbean,George H. W. Bush,1989,1990.0
Philippines Coup Attempt,PHI,Asia,George H. W. Bush,1989,1989.0
,CUB,Latin America & Caribbean,George H. W. Bush,1990,1990.0
,IRQ,Asia,George H. W. Bush,1990,1991.0
,KUW,Asia,George H. W. Bush,1990,1991.0
Operation Sharp Edge,LBR,Africa,George H. W. Bush,1990,1991.0
Operation Desert Shield,SAU,Asia,George H. W. Bush,1990,1991.0
Fishing Boats,CAN,N. America,George H. W. Bush,1991,1991.0
DRC Troops Airlift,DRC,Africa,George H. W. Bush,1991,1991.0
Attack on USS La Salle,IRN,Asia,George H. W. Bush,1991,1991.0
,IRQ,Asia,George H. W. Bush,1991,2003.0
"Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch",IRQ,Asia,George H. W. Bush,1991,2003.0
Operation Desert Storm,IRQ,Asia,George H. W. Bush,1991,1991.0
Operation Eastern Exit,SOM,Africa,George H. W. Bush,1991,1991.0
Air Skirmish,PER,Latin America & Caribbean,George H. W. Bush,1992,1992.0
Embassy Evacuation,SIE,Africa,George H. W. Bush,1992,1992.0
Operation Restore Hope,SOM,Africa,George H. W. Bush,1992,1993.0
Operation Provide Relief,SOM,Africa,George H. W. Bush,1992,1992.0
NATO Intervention in Yugoslavia,YUG,Europe,George H. W. Bush,1992,1996.0
NATO Intervention in Bosnia,BOS,Europe,Bill Clinton,1993,2004.0
"Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch",IRQ,Asia,George H. W. Bush,1993,1993.0
"Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch",IRQ,Asia,Bill Clinton,1993,1993.0
UN Resolution 842,MAC,Europe,Bill Clinton,1993,1999.0
PRK Tension,PRK,Asia,Bill Clinton,1993,1999.0
NPT Threats,PRK,Asia,Bill Clinton,1993,1993.0
,SOM,Africa,Bill Clinton,1993,1994.0
UNOSOM II,SOM,Africa,Bill Clinton,1993,1995.0
,CHN,Asia,Bill Clinton,1994,1994.0
Operation Support Hope,DRC,Africa,Bill Clinton,1994,1994.0
Operation Uphold Democracy,HAI,Latin America & Caribbean,Bill Clinton,1994,1995.0
"Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch",IRQ,Asia,Bill Clinton,1994,1995.0
,MAC,Europe,Bill Clinton,1994,1994.0
Operation Support Hope,RWA,Africa,Bill Clinton,1994,1994.0
Third Taiwan Strait Crisis,CHN,Asia,Bill Clinton,1995,1996.0
Embassy Evacuation NEO,CEN,Africa,Bill Clinton,1996,1996.0
,CUB,Latin America & Caribbean,Bill Clinton,1996,1996.0
"Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch",IRQ,Asia,Bill Clinton,1996,1996.0
Operation Assured Response NEO,LBR,Africa,Bill Clinton,1996,1996.0
,SYR,Asia,Bill Clinton,1996,1996.0
Operation Silver Wake NEO,ALB,Europe,Bill Clinton,1997,1997.0
Citizen Protection Operation,CAM,Asia,Bill Clinton,1997,1997.0
,CAN,N. America,Bill Clinton,1997,1997.0
Evacuating U.S. citizens,DRC,Africa,Bill Clinton,1997,1997.0
Operation Southern Watch,IRN,Asia,Bill Clinton,1997,1997.0
"Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch",IRQ,Asia,Bill Clinton,1997,2003.0
,RUS,Europe,Bill Clinton,1997,1997.0
Operation Nobel Obelisk NEO,SIE,Africa,Bill Clinton,1997,1997.0
Operation Infinite Reach,AFG,Asia,Bill Clinton,1998,1998.0
Evacuation (NEO),GNB,Africa,Bill Clinton,1998,1998.0
Operation Resolute Response,"KEN, TAZ",Africa,Bill Clinton,1998,1998.0
Liberian Civil Wars,LBR,Africa,Bill Clinton,1998,1998.0
Operation Infinite Reach,SUD,Africa,Bill Clinton,1998,1998.0
Taiwan Strait Skirmishes,CHN,Asia,Bill Clinton,1999,2000.0
East Timorese Crisis,ETM,Asia,Bill Clinton,1999,2002.0
Korean Peninsula Hostilities,PRK,Asia,Bill Clinton,1999,1999.0
,RUS,Europe,Bill Clinton,1999,1999.0
Vargas Tragedy,VEN,Latin America & Caribbean,Bill Clinton,1999,2000.0
Kosovo Intervention,YUG,Europe,Bill Clinton,1999,1999.0
UN Mission in Ethiopia and Eritrea,ERI,Africa,Bill Clinton,2000,2008.0
,PRK,Asia,Bill Clinton,2000,2000.0
,RUS,Europe,Bill Clinton,2000,2000.0
Russian ship carries illegal Iraqi oil,RUS,Europe,Bill Clinton,2000,2000.0
Bering Straight Probes,RUS,Europe,Bill Clinton,2000,2001.0
IMATT ,SIE,Africa,Bill Clinton,2000,2001.0
Counterterrorism mission,YEM,Asia,Bill Clinton,2000,2000.0
,YUG,Europe,Bill Clinton,2000,2000.0
Kosovo Border,YUG,Europe,Bill Clinton,2000,2000.0
Phiblex 2000,YUG,Europe,Bill Clinton,2000,2000.0
Operation Enduring Freedom Phase 1,AFG,Asia,George W. Bush,2001,2003.0
War in Afghanistan ,AFG,Asia,George W. Bush,2001,2022.0
Hainan Island Incident,CHN,Asia,George W. Bush,2001,2001.0
,CHN,Asia,George W. Bush,2001,2001.0
China/Taiwan Dispute,CHN,Asia,George W. Bush,2001,2001.0
Operation Essential Harvest,MAC,Europe,Bill Clinton,2001,2002.0
Evacuation Mission,CDI,Africa,George W. Bush,2002,2002.0
,CHN,Asia,George W. Bush,2002,2002.0
Colombia Special Forces Deployment,COL   ,Latin America & Caribbean,George W. Bush,2002,2005.0
Operation Enduring Freedom - Horn of Africa,DJI,Africa,George W. Bush,2002,2006.0
U.S. Assistance to Pakistan,PAK,Asia,George W. Bush,2002,2005.0
Operation Freedom Eagle; Operation Enduring Freedom - Philippines,PHI,Asia,George W. Bush,2002,2002.0
,PRK,Asia,George W. Bush,2002,2002.0
Operation Enduring Freedom - Horn of Africa (OEF-HOA),ETH,Africa,George W. Bush,2003,2015.0
Indonesia Freedom of Navigation Operation,INS,Asia,George W. Bush,2003,2003.0
Detention of U.S. Service members,IRN,Asia,George W. Bush,2003,2003.0
Operation Iraqi Freedom ,IRQ,Asia,George W. Bush,2003,2011.0
Joint Task Force Liberia,LBR,Africa,George W. Bush,2003,2003.0
PRK withdraws from NPT,PRK,Asia,George W. Bush,2003,2003.0
Hood Event,TUR,Asia,George W. Bush,2003,2003.0
,CDI,Africa,George W. Bush,2004,2004.0
Operation Secure Tomorrow,HAI,Latin America & Caribbean,George W. Bush,2004,2004.0
Iran Border Fortification,IRN,Asia,George W. Bush,2004,2011.0
Violations of Iranian Airspace,IRN,Asia,George W. Bush,2004,2005.0
Operation Enduring Freedom - Horn of Africa,KEN,Africa,George W. Bush,2004,
Fortification of Kwangju,PRK,Asia,George W. Bush,2004,2004.0
Syria Border Clash,SYR,Asia,George W. Bush,2004,2004.0
Pakistan Earthquake Response,PAK,Asia,George W. Bush,2005,2006.0
Drone Strikes in Waziristan,PAK,Asia,George W. Bush,2005,2006.0
Pakistan drone strikes,PAK,Asia,George W. Bush,2005,2005.0
Iraqi Border Clashes,SYR,Asia,George W. Bush,2005,2005.0
Counterterrorism mission/drones,YEM,Asia,George W. Bush,2005,
Israel-Hezbollah War/July War,LEB,Asia,George W. Bush,2006,2006.0
Drone strikes,PAK,Asia,George W. Bush,2006,2010.0
Support of AMISOM,SOM,Africa,George W. Bush,2006,2008.0
Erbil Raid,IRN,Asia,George W. Bush,2007,2007.0
Detaining Iranian Nationals,IRN,Asia,George W. Bush,2007,2007.0
,IRN,Asia,George W. Bush,2008,2008.0
Waziristan Drone Strikes,PAK,Asia,George W. Bush,2008,2009.0
Airspace violation,PAK,Asia,George W. Bush,2008,2008.0
,SOM,Africa,George W. Bush,2008,2008.0
Abu Kamal Raid,SYR,Asia,George W. Bush,2008,2008.0
Naval Skirmish,CHN,Asia,Barack Obama,2009,2009.0
Trespassing Drone,IRN,Asia,Barack Obama,2009,2009.0
Korean Sea Hostilities,PRK,Asia,Barack Obama,2009,2010.0
Al-Majalah Cruise Missile Strikes,YEM,Asia,Barack Obama,2009,2009.0
Border clash,PAK,Asia,Barack Obama,2010,2010.0
Venezuela Airspace Violation,VEN,Latin America & Caribbean,Barack Obama,2010,2010.0
,DRC,Africa,Barack Obama,2011,
Operation Odyssey Dawn,LIB,Africa,Barack Obama,2011,2011.0
,SSD,Africa,Barack Obama,2011,
Timber Sycamore,SYR,,Barack Obama,2011,
Operation Observant Compass,UGA,Africa,Barack Obama,2011,2017.0
,CEN,Africa,Barack Obama,2012,
Philippines Typhon Relief,PHI,Asia,Barack Obama,2012,2012.0
Hostage Rescue Mission,SOM,Africa,Barack Obama,2012,2012.0
Burundi Airlift,CEN,Africa,Barack Obama,2013,2013.0
Syrian Civil War/Counter IS,JOR,Asia,Barack Obama,2013,
Operation Juniper Shield,NIR,Africa,Barack Obama,2013,
Operation Inherent Resolve,"IRQ, SYR",Asia,Barack Obama,2014,
Operation United Assistance,LBR,Africa,Barack Obama,2014,2015.0
U.S. involvement in Syrian Civil War,SYR,Asia,Barack Obama,2014,2019.0
Ukraine Military Assistance,UKR,Europe,Barack Obama,2014,
Operation Freedom Sentinel,AFG,Asia,Barack Obama,2015,
Boko Haram,CAO,Africa,Barack Obama,2015,
,"AFG, IRQ, SYR, TUR, SOM, YEM, DJI, LBY, CUB, Central Africa, EGY, JOR",Asia,Barack Obama,2016,
Hurricane Matthew Relief ,HAI,Latin America & Caribbean,Barack Obama,2016,2016.0
Cruise Missile Strikes,YEM,Asia,Barack Obama,2016,2016.0
Hurricane Maria Relief,DMA,Latin America & Caribbean,Donald Trump,2017,2017.0
Joint Task Force Hurricane Relief ,"Dominica,  St. Martin, ",Latin America & Caribbean,Donald Trump,2017,2017.0
Operation Continuing Promise,"GUA, HON, COL",Latin America & Caribbean,Donald Trump,2017,2017.0
Sri Lanka Humanitarian Assistance,LKA,Asia,Donald Trump,2017,2017.0
Peru Flooding Relief,PER,Latin America & Caribbean,Donald Trump,2017,2017.0
Stella Daisy Uruguay Search and Rescue Assistance,URU,Latin America & Caribbean,Donald Trump,2017,2017.0
Operation Enduring Promise,ECU,Latin America & Caribbean,Donald Trump,2018,2018.0
Venezuelan Refugees Humanitarian mission,HON,Latin America & Caribbean,Donald Trump,2018,2018.0
NATO surveillance,ICE,Europe,Donald Trump,2018,2018.0
Thai Cave Rescue,THI,Asia,Donald Trump,2018,2018.0
Baghdad Embassy Protection,IRQ,Asia,Donald Trump,2019,2020.0
Oil tanker attacks response,SAU,Asia,Donald Trump,2019,
