Name,State,Region,Pressident,Start Year,End Year
"The ""Glorious Revolution"" of the 9th",PAN,Latin America & Caribbean,Abraham Lincoln,1865,1865.0
Blockade Dispute with Brazil ,BRA,Latin America & Caribbean,Andrew Johnson,1866,1866.0
US Consul Protection,CHN,Asia,Andrew Johnson,1866,1866.0
Occupation of Matamoros,MEX,Latin America & Caribbean,Andrew Johnson,1866,1866.0
The Bombardment of Valparaiso,SPN,Latin America & Caribbean,Andrew Johnson,1866,1866.0
Presidential Transition Show of Force,NIC,Latin America & Caribbean,Andrew Johnson,1867,1867.0
Formosa Expedition,TAW,Asia,Andrew Johnson,1867,1867.0
Chiriquí Intervention,COL,Latin America & Caribbean,Andrew Johnson,1868,1868.0
Boshin War,JPN,Asia,Andrew Johnson,1868,1868.0
Montevideo Uprising,URU,Latin America & Caribbean,Andrew Johnson,1868,1868.0
Dominican Republic Interference,HAI,Latin America & Caribbean,Ulysses S. Grant,1869,1869.0
Tianjin Massacre,CHN,Asia,Ulysses S. Grant,1870,1870.0
,Hawaii,Asia,Ulysses S. Grant,1870,1870.0
Battle of Boca Teacapan,MEX,Latin America & Caribbean,Ulysses S. Grant,1870,1870.0
Korea Shipwreck Incident,KOR,Asia,Ulysses S. Grant,1871,1871.0
Isthmus Revolutions,COL,Latin America & Caribbean,Ulysses S. Grant,1873,1873.0
Border Crossings by U.S. Troops,MEX,Latin America & Caribbean,Ulysses S. Grant,1873,1882.0
,SPN,Latin America & Caribbean,Ulysses S. Grant,1873,1873.0
Honolulu Courthouse Intervention,Hawaii,Asia,Ulysses S. Grant,1874,1874.0
The USS Saranac in Mexico,MEX,Latin America & Caribbean,Ulysses S. Grant,1874,1875.0
Evacuation of Matamoros,MEX,Latin America & Caribbean,Ulysses S. Grant,1876,1876.0
,MEX,Latin America & Caribbean,Rutherford B. Hayes,1880,1880.0
,UKG,Europe,Rutherford B. Hayes,1881,1881.0
Alexandria intervention,EGY,Africa,Chester A. Arthur,1882,1882.0
,HAI,Latin America & Caribbean,Chester A. Arthur,1882,1882.0
War of the Pacific,CHL,Latin America & Caribbean,Chester A. Arthur,1883,1883.0
,GUA,Latin America & Caribbean,Grover Cleveland,1885,1885.0
,JPN,Asia,Grover Cleveland,1885,1885.0
Rebel Takeover of Colón and Panama City,PAN,Latin America & Caribbean,Chester A. Arthur,1885,1885.0
,MEX,Latin America & Caribbean,Grover Cleveland,1886,1886.0
Samoan Crisis,GMY,Oceania,Grover Cleveland,1888,1889.0
Haitian Revolution,HAI,Latin America & Caribbean,Grover Cleveland,1888,1889.0
Baby Riots,KOR,Asia,Grover Cleveland,1888,1888.0
Protective mission,WSM,Oceania,Grover Cleveland,1888,1889.0
,HAI,Latin America & Caribbean,Benjamin Harrison,1889,1889.0
Coup attempt,Hawaii,N. America,Benjamin Harrison,1889,1889.0
Buenos Aires protective mission,ARG,Latin America & Caribbean,Benjamin Harrison,1890,1890.0
Chilean Civil War and the Baltimore Affair,CHL,Latin America & Caribbean,Benjamin Harrison,1891,1892.0
Attempt to Lease Mole St. Nicolas,HAI,Latin America & Caribbean,Benjamin Harrison,1891,1891.0
Hawaiian Coup Troop Landing,Hawaii,Asia,Benjamin Harrison,1893,1893.0
Havana Ranch Incident,MEX,Latin America & Caribbean,Benjamin Harrison,1893,1893.0
Rio de Janeiro Affair,BRA,Latin America & Caribbean,Grover Cleveland,1894,1894.0
Sino-Japanese War,CHN,Asia,Grover Cleveland,1894,1895.0
,CHN,Asia,Grover Cleveland,1894,1895.0
Korea Crisis in Sino-Japanese War,KOR,Asia,Grover Cleveland,1894,1896.0
Protective mission,NIC,Latin America & Caribbean,Grover Cleveland,1894,1894.0
Bocas del Toro Landing,COL,Latin America & Caribbean,Grover Cleveland,1895,1895.0
,FRN,Latin America & Caribbean,Grover Cleveland,1895,1895.0
,SPN,Europe,Grover Cleveland,1895,1895.0
,COL,Latin America & Caribbean,Grover Cleveland,1896,1896.0
Protective mission,NIC,Latin America & Caribbean,Grover Cleveland,1896,1896.0
Marine stationing in Beijing and Tientsin,CHN,Asia,William McKinley,1898,1898.0
Protective mission,NIC,Latin America & Caribbean,William McKinley,1898,1898.0
,PRI,Latin America & Caribbean,William McKinley,1898,1898.0
Spanish-American War,SPN,Europe,William McKinley,1898,1898.0
,"SPN, Guam",Oceania,William McKinley,1898,1899.0
Protective mission,NIC,Latin America & Caribbean,William McKinley,1899,1899.0
The Philippine-American War,PHI,Asia,William McKinley,1899,1906.0
War of Succession,WSM,Oceania,William McKinley,1899,1899.0
Boxer Rebellion,CHN,Asia,William McKinley,1900,1900.0
Anticipated Protective Mission,DOM,Latin America & Caribbean,William McKinley,1900,1900.0
Retaking Colón,COL,Latin America & Caribbean,Theodore Roosevelt,1901,1901.0
Continued Isthmus Unrest,COL,Latin America & Caribbean,Theodore Roosevelt,1902,1902.0
Return to Bocas del Toro,COL,Latin America & Caribbean,Theodore Roosevelt,1902,1902.0
Alaska Boundary Dispute,UKG,n. America,Theodore Roosevelt,1902,1903.0
Venezuelan Crisis,"UKG, GMY, ITA",Latin America & Caribbean,Theodore Roosevelt,1902,1903.0
,BRA,Latin America & Caribbean,Theodore Roosevelt,1903,1903.0
US Recognition of Independent Panama,COL,Latin America & Caribbean,Theodore Roosevelt,1903,1914.0
Landing During 1903 Revolution,DOM,Latin America & Caribbean,Theodore Roosevelt,1903,1903.0
The Skinner Mission to Ethiopia,ETH,Africa,Theodore Roosevelt,1903,1904.0
Conservative Rebellion of 1903,HON,Latin America & Caribbean,Theodore Roosevelt,1903,1903.0
,PAN,Latin America & Caribbean,Theodore Roosevelt,1903,1914.0
Beirut intervention,SYR,Asia,Theodore Roosevelt,1903,1903.0
,UKG,Europe,Theodore Roosevelt,1903,1903.0
The Seven Red Flags Battle,DOM,Latin America & Caribbean,Theodore Roosevelt,1904,1904.0
Korea Crisis in Russo-Japanese War,KOR,Asia,Theodore Roosevelt,1904,1905.0
Tangiers Hostages,MOR,Africa,Theodore Roosevelt,1904,1904.0
Huerta's Resignation,PAN,Latin America & Caribbean,Theodore Roosevelt,1904,1904.0
,CHN,Asia,Theodore Roosevelt,1905,1906.0
Occupation of Cuba,CUB,Latin America & Caribbean,Theodore Roosevelt,1906,1909.0
Honduran Rebellion,HON,Latin America & Caribbean,Theodore Roosevelt,1907,1907.0
1908 Panamanian Election,PAN,Latin America & Caribbean,Theodore Roosevelt,1908,1908.0
Estrada’s Rebellion,NIC,Latin America & Caribbean,Theodore Roosevelt,1909,1933.0
Nicaraguan civil war,NIC,Latin America & Caribbean,William Howard Taft,1910,1910.0
Chinese Revolution,CHN,Asia,William Howard Taft,1911,1913.0
,GUA,Latin America & Caribbean,William Howard Taft,1911,1911.0
Rebellion Against Antoine Simon,HAI,Latin America & Caribbean,William Howard Taft,1911,1911.0
General Bonilla’s Counter-Rebellion,HON,Latin America & Caribbean,William Howard Taft,1911,1911.0
The Mexican Revolution,MEX,Latin America & Caribbean,William Howard Taft,1911,1919.0
,CHN,Asia,William Howard Taft,1912,1941.0
Protection of Kentucky Island and Camp Nicholson,CHN,Asia,William Howard Taft,1912,1912.0
Cuban rebels,CUB,Latin America & Caribbean,William Howard Taft,1912,1912.0
Attempted Seizure at Puerto Cortez,HON,Latin America & Caribbean,William Howard Taft,1912,1912.0
Liberal Uprising,NIC,Latin America & Caribbean,William Howard Taft,1912,1912.0
1912 Panama Election,PAN,Latin America & Caribbean,William Howard Taft,1912,1914.0
Constantinople Intervention/1st Balkan War,TUR,Asia,William Howard Taft,1912,1912.0
,MEX,Latin America & Caribbean,Woodrow Wilson,1913,1914.0
Instability in the Dominican Republic,DOM,Latin America & Caribbean,Woodrow Wilson,1914,1914.0
,DOM,Latin America & Caribbean,Woodrow Wilson,1914,1914.0
Landings During Revolutionary Instability in Haiti,HAI,Latin America & Caribbean,Woodrow Wilson,1914,1914.0
,MEX,Latin America & Caribbean,Woodrow Wilson,1914,1917.0
,GMY,Europe,Woodrow Wilson,1915,1915.0
US Occupation of Haiti,HAI,Latin America & Caribbean,Woodrow Wilson,1915,1920.0
,MEX,Latin America & Caribbean,Woodrow Wilson,1915,1915.0
Nanjing Incident (Nanking),CHN,Asia,Woodrow Wilson,1916,1916.0
Military Occupation,DOM,Latin America & Caribbean,Woodrow Wilson,1916,1924.0
,MEX,Latin America & Caribbean,Woodrow Wilson,1916,1917.0
WWI,"AUH, BUL, GMY, TUR",Europe,Woodrow Wilson,1917,1918.0
Chungking Incident,CHN,Asia,Woodrow Wilson,1917,1917.0
U.S. Force Deployment,CUB,Latin America & Caribbean,Woodrow Wilson,1917,1922.0
Seizure of German ships,GMY,Europe,Woodrow Wilson,1917,1917.0
,SWD,Europe,Woodrow Wilson,1917,1917.0
The Adriatic Question,CRO,Europe,Woodrow Wilson,1918,1912.0
Mexican Border Incidents,MEX,Latin America & Caribbean,Woodrow Wilson,1918,1920.0
,MEX,Latin America & Caribbean,Woodrow Wilson,1918,1918.0
Election Unrest and Chiriquí Rebellion,PAN,Latin America & Caribbean,Woodrow Wilson,1918,1920.0
,RUS,Europe,Woodrow Wilson,1918,1920.0
Vladivostok Marine deployment ,RUS,Europe,Woodrow Wilson,1918,1922.0
Tegucigalpa Uprising,HON,Latin America & Caribbean,Woodrow Wilson,1919,1919.0
Allied Occupation of Ottoman lands,TUR,Asia,Woodrow Wilson,1919,1919.0
Kiukiang Incident,CHN,Asia,Woodrow Wilson,1920,1920.0
The Unionista Revolution,GUA,Latin America & Caribbean,Woodrow Wilson,1920,1920.0
Election dispute,CUB,Latin America & Caribbean,Woodrow Wilson,1921,1921.0
Border dispute,PAN/COS,Latin America & Caribbean,Woodrow Wilson,1921,1921.0
Deterring War with Honduras,SAL,Latin America & Caribbean,Warren G. Harding,1921,1921.0
Miscellaneous Landings,CHN,Asia,Warren G. Harding,1922,1922.0
Evacuation during Greek-Turkish War,TUR,Asia,Warren G. Harding,1922,1922.0
Shanghai Landing,CHN,Asia,Calvin Coolidge,1924,1924.0
Honduran Civil War of 1924,HON,Latin America & Caribbean,Calvin Coolidge,1924,1924.0
De la Huerta Rebellion,MEX,Latin America & Caribbean,Warren G. Harding,1924,1924.0
Protection of Shanghai ,CHN,Asia,Calvin Coolidge,1925,1925.0
Uprising of 1925,HON,Latin America & Caribbean,Calvin Coolidge,1925,1925.0
Panama Rent Riots,PAN,Latin America & Caribbean,Calvin Coolidge,1925,1925.0
Hankow deployment,CHN,Asia,Calvin Coolidge,1926,1926.0
Removal of Nicaraguan President/civil war,NIC,Latin America & Caribbean,Calvin Coolidge,1926,1933.0
Nanjing Incident,CHN,Asia,Calvin Coolidge,1927,1927.0
Las Limas Bombing,HON,Latin America & Caribbean,Herbert Hoover,1929,1929.0
Shanghai Incident,CHN,Asia,Herbert Hoover,1932,1932.0
,JPN,Asia,Herbert Hoover,1932,1932.0
Communist Uprising,SAL,Latin America & Caribbean,Herbert Hoover,1932,1932.0
Cuban Revolution of 1933,CUB,Latin America & Caribbean,Franklin D. Roosevelt,1933,1934.0
Foochow Protective Mission,CHN,Asia,Franklin D. Roosevelt,1934,1934.0
Panay Incident,JPN,Asia,Franklin D. Roosevelt,1937,1937.0
,GMY,Europe,Franklin D. Roosevelt,1939,1939.0
,UKG,Europe,Franklin D. Roosevelt,1939,1940.0
Deterrence Campaign Against Japan,JPN,Asia,Franklin D. Roosevelt,1940,1941.0
,"Newfoundland, Bermuda, St. Lucia, BHM, JAM, AAB, TRI, British Guiana",Latin America & Caribbean,Franklin D. Roosevelt,1940,1940.0
,BUL,Europe,Franklin D. Roosevelt,1941,1941.0
,GMY,Europe,Franklin D. Roosevelt,1941,1941.0
,Greenland,Europe,Franklin D. Roosevelt,1941,1941.0
,ICE,Europe,Franklin D. Roosevelt,1941,1941.0
WWII,"JPN, GMY, ITA, ROM, HUN, BUL",Asia,Franklin D. Roosevelt,1941,1945.0
,NTH,Europe,Franklin D. Roosevelt,1941,1941.0
,FRN,Europe,Franklin D. Roosevelt,1942,1942.0
,THI,Asia,Franklin D. Roosevelt,1942,1942.0
,ITA,Europe,Franklin D. Roosevelt,1943,1943.0
Operation Beleaguer,CHN,Asia,Harry S. Truman,1945,1949.0
Turkish Strait Crisis,RUS,Europe,Harry S. Truman,1946,1946.0
Airspace Violations,YUG,Europe,Harry S. Truman,1946,1946.0
,LBR,,,1947,1947.0
